user_id,recency,frequency,monetary
11291,384,7,426.85000157356262
97434,73,9,497.77000188827515
49853,245,7,418.52000188827515
64662,224,6,139.33000230789185
21679,433,7,324.95999622344971
64470,83,6,156.1899995803833
90188,226,6,140.22000122070312
53490,208,8,189.29000091552734
57610,89,6,123.18999910354614
17706,224,8,586.21000099182129
65423,59,6,218.61000156402588
62645,502,8,411.92999935150146
65964,964,7,293.35000038146973
76028,93,6,161.20999908447266
84596,64,6,378.13000297546387
94492,42,7,227.93999862670898
85542,434,6,138.68000030517578
81887,14,6,376.53999948501587
35421,150,6,182.89000034332275
62998,454,6,301.90000247955322
14745,584,7,389.870005607605
4104,24,7,247.55999755859375
51092,294,6,343.8799991607666
4966,654,8,265.30000114440918
15906,842,6,446.19999885559082
6327,859,7,346.47999954223633
18838,525,6,231.27999877929688
37155,44,8,313.5100040435791
92227,0,6,868.89000034332275
22570,285,6,333.09999847412109
53224,78,7,264.57999992370605
79258,24,8,527.19999694824219
27044,530,6,357.9900016784668
52791,481,6,688.64999771118164
29208,-2,6,250.84000015258789
34318,91,7,414.82999897003174
32334,84,6,103.38999843597412
38464,197,6,408.02999687194824
65813,105,6,623.28999519348145
76873,198,7,454.43000030517578
85925,142,6,164.95999908447266
71095,222,7,540.57999897003174
60976,141,7,279.38000106811523
19946,96,7,240.29000091552734
77600,0,6,150.77999973297119
62060,24,7,316.33000373840332
90009,310,7,243.03000259399414
67406,128,6,162.19000053405762
94295,1173,8,726.26000213623047
12499,148,7,439.61999797821045
50530,375,6,463.099986076355
43459,707,11,669.4400053024292
55788,405,8,266.20000076293945
96286,414,6,187.67999839782715
44369,309,6,278.42000198364258
68180,375,6,398.77999687194824
75181,246,6,182.74000549316406
18235,771,6,174.98999977111816
33102,1178,6,304.0600004196167
42372,442,8,681.27000045776367
8477,70,6,246.51999855041504
32086,559,8,494.43000221252441
8903,294,6,360.709997177124
74747,0,6,263.23999500274658
92184,157,6,245.67999744415283
19952,483,6,505.2400016784668
45194,98,8,530.89999961853027
58681,323,7,310.040002822876
89833,386,7,224.40000152587891
8875,117,7,298.95000267028809
8188,35,6,422.85999393463135
96784,-3,6,553.480001449585
34723,283,6,350.23999691009521
61595,125,6,315.25999736785889
9699,201,6,458.08000564575195
79028,101,6,334.99999809265137
80632,1033,6,252.87000179290771
46610,39,6,384.95000267028809
68047,286,6,243.45999908447266
78686,187,6,265.61000347137451
65769,45,8,511.96999931335449
81947,83,6,267.34999942779541
5116,90,6,500.41999816894531
69228,29,6,289.88000297546387
33574,370,6,255.48999786376953
42878,263,8,317.97999954223633
99229,14,7,435.459997177124
32386,170,9,1129.4699974060059
56768,666,6,260.51000022888184
63604,305,7,550.12000179290771
30432,578,9,543.06999778747559
30520,577,7,545.629997253418
12595,889,7,393.1099967956543
98802,372,7,342.87000179290771
76656,253,6,228.95000267028809
70551,685,7,757.05000305175781
71352,140,6,187.82999992370605
84602,112,6,616.6099967956543
70149,118,6,242.63000106811523
92137,480,6,438.61000061035156
48531,226,8,444.21999931335449
88458,968,6,404.7500057220459
86913,255,7,332.57999992370605
64965,107,6,242.88999938964844
17515,30,7,303.25000190734863
81897,42,6,454.80000495910645
86292,680,6,778.88000106811523
47216,54,6,242.85000228881836
67587,583,9,554.30999946594238
16617,486,7,384.77999687194824
86,679,7,265.91999816894531
50916,73,6,260.07999610900879
70060,122,7,478.64000129699707
96281,56,6,294.81999778747559
16387,193,6,547.46999740600586
44424,991,6,520.67999839782715
28450,51,7,411.42000007629395
53248,900,6,363.3800048828125
38100,60,6,380.99999618530273
30674,1555,6,379.310001373291
8506,152,6,405.40999984741211
7484,495,6,303.45999908447266
22680,52,6,247.83999633789062
23721,553,7,426.2299976348877
42636,0,6,254.00000190734863
67541,275,6,234.90000343322754
3971,6,6,505.02000427246094
5621,70,6,269.47999954223633
25453,637,6,422.189998626709
83280,848,6,423.85999298095703
22021,296,6,272.97000122070312
26261,181,6,681.470006942749
43612,612,7,351.94000053405762
78481,408,6,247.95000267028809
96152,1220,6,327.850004196167
49594,157,6,394.62000274658203
73792,1063,7,707.38999938964844
58473,402,7,450.73999977111816
13903,34,6,283.82000350952148
87355,111,6,475.18999481201172
7435,-1,6,424.68000030517578
97738,111,6,296.47000503540039
123,31,7,349.35000228881836
31740,125,6,342.21999740600586
8731,421,6,535.220006942749
53231,208,6,482.46999931335449
58942,229,6,258.55000305175781
8471,121,6,465.09999847412109
37625,690,6,325.69999694824219
44445,232,6,265.14000701904297
66829,33,8,349.50000190734863
67437,359,8,362.96999931335449
67987,275,6,363.310001373291
68090,122,6,421.62000274658203
86885,696,6,215.21999931335449
7126,226,6,309.94000434875488
71313,388,6,319.30999946594238
2051,253,6,285.8599967956543
1145,35,6,435.82999801635742
64257,203,6,460.76999855041504
89641,-1,7,474.6099967956543
6067,404,6,338.61000061035156
70968,808,6,339.79000091552734
69304,227,6,388.56999778747559
73352,40,6,1353.8299999237061
29013,248,6,510.10000801086426
16458,952,8,915.16998481750488
29531,104,6,487.61000823974609
77290,5,7,470.8700065612793
2606,53,7,567.6200065612793
27946,836,6,510.439998626709
32840,20,6,393.48000717163086
35645,384,6,346.40999984741211
42928,141,6,386.22999954223633
89760,20,6,387.96000289916992
94582,211,1,0.49000000953674311
9618,44,1,1.5
28769,903,1,1.5
13757,31,1,1.950000047683716
87818,300,1,1.9800000190734863
5462,5,1,2.5899999141693115
19284,949,1,2.7799999713897705
63005,124,1,2.7799999713897705
929,333,1,2.9500000476837158
11621,519,1,2.9500000476837158
